#SampleID	days_since_epoch	Subject_SampleType
14261.M3.L.palm	14261	M3_L_palm
14262.M3.L.palm	14262	M3_L_palm
14263.M3.L.palm	14263	M3_L_palm
14264.M3.L.palm	14264	M3_L_palm
14265.M3.L.palm	14265	M3_L_palm
14266.M3.L.palm	14266	M3_L_palm
14267.M3.L.palm	14267	M3_L_palm
14268.M3.L.palm	14268	M3_L_palm
14269.M3.L.palm	14269	M3_L_palm
14270.M3.L.palm	14270	M3_L_palm
14271.M3.L.palm	14271	M3_L_palm
14272.M3.L.palm	14272	M3_L_palm
14273.M3.L.palm	14273	M3_L_palm
14274.M3.L.palm	14274	M3_L_palm
14275.M3.L.palm	14275	M3_L_palm
14276.M3.L.palm	14276	M3_L_palm
14277.M3.L.palm	14277	M3_L_palm
14278.M3.L.palm	14278	M3_L_palm
14285.M3.L.palm	14285	M3_L_palm
14286.M3.L.palm	14286	M3_L_palm
14287.M3.L.palm	14287	M3_L_palm
14288.M3.L.palm	14288	M3_L_palm
14289.M3.L.palm	14289	M3_L_palm
14290.M3.L.palm	14290	M3_L_palm
14291.M3.L.palm	14291	M3_L_palm
14293.M3.L.palm	14293	M3_L_palm
14294.M3.L.palm	14294	M3_L_palm
14295.M3.L.palm	14295	M3_L_palm
14296.M3.L.palm	14296	M3_L_palm
14297.M3.L.palm	14297	M3_L_palm
14298.M3.L.palm	14298	M3_L_palm
14299.M3.L.palm	14299	M3_L_palm
14300.M3.L.palm	14300	M3_L_palm
14301.M3.L.palm	14301	M3_L_palm
14302.M3.L.palm	14302	M3_L_palm
14303.M3.L.palm	14303	M3_L_palm
14304.M3.L.palm	14304	M3_L_palm
14305.M3.L.palm	14305	M3_L_palm
14306.M3.L.palm	14306	M3_L_palm
14307.M3.L.palm	14307	M3_L_palm
14308.M3.L.palm	14308	M3_L_palm
14310.M3.L.palm	14310	M3_L_palm
14311.M3.L.palm	14311	M3_L_palm
14312.M3.L.palm	14312	M3_L_palm
